date,maxtemp_c,maxtemp_f,mintemp_c,mintemp_f,avgtemp_c,avgtemp_f,maxwind_mph,maxwind_kph,totalprecip_mm,totalprecip_in,totalsnow_cm,avgvis_km,avgvis_miles,avghumidity,daily_will_it_rain,daily_chance_of_rain,daily_will_it_snow,daily_chance_of_snow,condition,uv
2025-09-13,15.6,60.1,9.1,48.4,12.4,54.4,18.1,29.2,3.6,0.14,0.0,9.3,5.0,81,1,100,0,0,Patchy light drizzle,2.1
2025-09-12,16.3,61.3,9.5,49.1,12.8,55.1,16.8,27.0,3.5,0.14,0.0,9.0,5.0,79,1,100,0,0,Light rain shower,2.0
2025-09-11,16.6,61.9,10.4,50.7,13.0,55.5,19.5,31.3,2.5,0.1,0.0,9.5,5.0,79,1,100,0,0,Light rain shower,1.8
2025-09-10,16.4,61.5,11.7,53.1,13.9,57.1,16.6,26.6,3.9,0.15,0.0,8.9,5.0,91,1,100,0,0,Light rain shower,1.8
2025-09-09,17.5,63.5,10.6,51.1,13.8,56.9,19.7,31.7,6.7,0.26,0.0,8.7,5.0,85,1,100,0,0,Light rain,1.4
2025-09-08,19.3,66.7,9.8,49.6,13.7,56.7,14.5,23.4,0.1,0.0,0.0,10.0,6.0,75,1,100,0,0,Patchy rain possible,4.5
2025-09-07,18.5,65.3,10.7,51.3,15.7,60.3,18.6,29.9,3.8,0.15,0.0,8.4,5.0,89,1,100,0,0,Moderate or heavy rain with thunder,3.2
2025-09-06,19.8,67.6,12.3,54.1,17.0,62.6,20.4,32.8,0.1,0.0,0.0,10.0,6.0,73,1,100,0,0,Patchy rain possible,4.8
2025-09-05,19.7,67.5,10.5,50.9,14.7,58.5,7.8,12.6,0.3,0.01,0.0,10.0,6.0,78,1,100,0,0,Patchy rain possible,4.7
2025-09-04,19.8,67.6,11.8,53.2,15.0,59.0,16.1,25.9,4.7,0.19,0.0,9.7,6.0,78,1,100,0,0,Light rain shower,3.5
2025-09-03,19.4,66.9,12.6,54.7,16.7,62.1,28.6,46.1,13.4,0.53,0.0,9.8,6.0,84,1,100,0,0,Light rain shower,1.6
2025-09-02,21.6,70.9,11.3,52.3,15.6,60.2,17.7,28.4,10.8,0.43,0.0,9.3,5.0,84,1,100,0,0,Moderate or heavy rain with thunder,3.2
2025-09-01,19.4,66.9,11.6,52.9,15.5,59.8,18.1,29.2,3.3,0.13,0.0,9.8,6.0,77,1,100,0,0,Light rain shower,2.4
2025-08-31,19.4,66.9,12.0,53.6,15.2,59.4,20.8,33.5,1.6,0.06,0.0,9.3,5.0,77,1,100,0,0,Light rain shower,4.0
2025-08-30,20.4,68.7,11.9,53.4,15.4,59.7,20.6,33.1,2.5,0.1,0.0,8.0,4.0,88,1,100,0,0,Light rain shower,3.9
2025-08-29,19.8,67.6,12.6,54.7,15.8,60.5,19.0,30.6,2.4,0.09,0.0,8.6,5.0,79,1,100,0,0,Light rain shower,3.8
2025-08-28,18.4,65.1,11.0,51.8,14.4,57.9,16.3,26.3,4.1,0.16,0.0,9.0,5.0,81,1,100,0,0,Light rain shower,2.9
2025-08-27,22.2,72.0,11.3,52.3,16.4,61.5,20.4,32.8,1.0,0.04,0.0,10.0,6.0,71,1,100,0,0,Light rain shower,5.0
2025-08-26,23.6,74.5,12.5,54.5,17.9,64.2,17.2,27.7,0.8,0.03,0.0,9.7,6.0,72,1,100,0,0,Patchy rain possible,4.9
2025-08-25,26.4,79.5,13.3,55.9,19.1,66.3,14.8,23.8,0.0,0.0,0.0,10.0,6.0,66,0,0,0,0,Sunny,5.8
2025-08-24,21.5,70.7,13.0,55.4,16.8,62.3,11.9,19.1,0.0,0.0,0.0,9.7,6.0,77,0,0,0,0,Mist,5.9
2025-08-23,22.8,73.0,11.5,52.7,16.8,62.3,11.6,18.7,0.0,0.0,0.0,10.0,6.0,72,0,0,0,0,Partly cloudy,6.0
2025-08-22,23.9,75.0,10.3,50.5,16.8,62.3,7.2,11.5,0.0,0.0,0.0,10.0,6.0,64,0,0,0,0,Partly cloudy,6.1
2025-08-21,22.3,72.1,8.2,46.8,15.2,59.4,11.0,17.6,0.0,0.0,0.0,10.0,6.0,59,0,0,0,0,Partly cloudy,6.2
2025-08-20,23.7,74.7,12.9,55.2,17.9,64.2,15.0,24.1,0.0,0.0,0.0,10.0,6.0,60,0,0,0,0,Overcast,6.2
2025-08-19,24.1,75.4,14.8,58.6,19.5,67.2,15.9,25.6,0.6,0.02,0.0,9.9,6.0,67,1,100,0,0,Patchy rain possible,4.1
2025-08-18,22.2,72.0,13.6,56.5,17.6,63.7,15.9,25.6,0.0,0.0,0.0,10.0,6.0,79,0,0,0,0,Cloudy,6.5
2025-08-17,21.6,70.9,11.7,53.1,16.8,62.2,17.2,27.7,0.0,0.0,0.0,10.0,6.0,74,0,0,0,0,Partly cloudy,6.6
2025-08-16,23.9,75.0,14.7,58.5,19.3,66.7,15.2,24.5,0.0,0.0,0.0,10.0,6.0,72,0,0,0,0,Partly cloudy,6.8
2025-08-15,28.3,82.9,13.7,56.7,20.7,69.3,8.1,13.0,0.0,0.0,0.0,9.3,5.0,66,0,0,0,0,Sunny,6.9
2025-08-14,25.9,78.6,14.5,58.1,19.7,67.4,11.6,18.7,0.0,0.0,0.0,7.2,4.0,74,0,0,0,0,Overcast,6.9
2025-08-13,27.4,81.3,15.2,59.4,20.9,69.6,11.0,17.6,0.0,0.0,0.0,10.0,6.0,62,0,0,0,0,Sunny,7.0
2025-08-12,28.2,82.8,14.8,58.6,21.6,70.9,10.5,16.9,0.0,0.0,0.0,10.0,6.0,57,0,0,0,0,Sunny,7.1
2025-08-11,25.0,77.0,13.5,56.3,19.7,67.4,12.5,20.2,1.1,0.04,0.0,9.9,6.0,58,1,100,0,0,Partly cloudy,7.6
2025-08-10,23.4,74.1,11.3,52.3,17.0,62.6,11.4,18.4,0.0,0.0,0.0,7.7,4.0,73,0,0,0,0,Mist,7.3
2025-08-09,22.3,72.1,11.7,53.1,16.8,62.3,14.5,23.4,0.0,0.0,0.0,9.7,6.0,68,0,0,0,0,Partly cloudy,7.7
2025-08-08,23.5,74.3,12.1,53.8,17.2,63.0,10.3,16.6,0.0,0.0,0.0,10.0,6.0,70,0,0,0,0,Overcast,7.0
2025-08-07,20.8,69.4,11.9,53.4,16.4,61.5,14.5,23.4,0.4,0.02,0.0,8.7,5.0,82,1,100,0,0,Light drizzle,2.4
